fold,white_roc_auc,white_log_loss,native_hawaiian_or_other_pacific_islander_roc_auc,native_hawaiian_or_other_pacific_islander_log_loss,more_than_one_race_roc_auc,more_than_one_race_log_loss,black_or_african-american_roc_auc,black_or_african-american_log_loss,asian_roc_auc,asian_log_loss,american_indian_or_alaska_native_roc_auc,american_indian_or_alaska_native_log_loss,roc_auc,log_loss
1,0.737307560416554,0.5734910940570753,0.7452419866212969,0.5893939749073152,0.7500402628357921,0.5900948099598543,0.7770955267558529,0.5690336862315122,0.7787996618765851,0.5729422851888542,0.7846467391304348,0.561978607998726,0.7657216816626853,0.5761948960839891
2,0.7720272458462404,0.550991355366692,0.7304785670517818,0.6127319572516461,0.7527244294580462,0.5953612237811602,0.7298642533936652,0.6051178895090085,0.7664373673036093,0.5710528508066343,0.7594763435920993,0.5814447582838552,0.7542795710584287,0.5860860270431809
3,0.7669918024281415,0.5382091617334034,0.7342768213208831,0.6104481043889224,0.7588225638780981,0.5765397149385846,0.7578154162000746,0.5667958758460726,0.7537389973210868,0.5822195850053803,0.7570341589768497,0.5860516027201963,0.7610294161362472,0.5766971182626119
4,0.7739348414861822,0.5501041865137607,0.7319866945651591,0.6092925124638704,0.7584871339840283,0.5824620992331483,0.7597925220740526,0.568133974526057,0.7593137050764169,0.5700258947599537,0.7585079365079365,0.5804449151649655,0.759526088553997,0.5765821622355547
5,0.7359561458992199,0.5861001323607176,0.7572487711262186,0.588933634424978,0.7750777286859761,0.5652629998991209,0.7498312444128218,0.5942853303485108,0.747944672076744,0.5873465421629166,0.7713653897313115,0.5726836805840224,0.7588209764316571,0.5822654150667883
6,0.7464709476188945,0.5654208229142038,0.7962857116935665,0.5534886658469984,0.7425319070226278,0.6001987820581887,0.7337587425192875,0.597385852643362,0.7831520481370053,0.5555897053030673,0.7679069678553683,0.5759989128676573,0.7667116131682078,0.5749230883181438
7,0.7254685349923445,0.5699164394010932,0.7345202312138728,0.6007594183018761,0.7794298887263378,0.5616158659281638,0.7541248016922264,0.5850039606294035,0.7560536912751676,0.578105358860064,0.7560535294312497,0.5928976471487777,0.7574479038910218,0.581663835590353
OOF,0.7513284741817787,0.5623002806456043,0.7461832012726461,0.5950406507192177,0.7582957606046515,0.5818749806880777,0.7517663462440842,0.5835949064071569,0.7631937704489395,0.5739633050350306,0.7642725897244713,0.5788660210570504,0.7604671797615683,0.5792017287216275
