fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6561015637103513,0.013399007950311553,0.6695005716606629,0.6558091546375847,0.6594687447873838,0.6615744238760861,0.663883481608992,0.6885444121403147,0.6877232129136163,0.6729658891372974
2,0.6541677189481839,0.017837616739808066,0.672005335687992,0.6366629153732949,0.6805131453313039,0.6787636635917831,0.6631728229225445,0.6816604408130099,0.6912590260960161,0.6754763568242367
3,0.6528631503080642,0.013108439621178221,0.6659715899292424,0.6616308843805397,0.6644568755322748,0.676723231716474,0.6430849656083141,0.685180223178649,0.6647533591592034,0.6670432543075815
4,0.6499008379444944,0.013296997198251264,0.6631978351427457,0.6412842164148076,0.6566441721959283,0.6806771937483368,0.6602952460574688,0.6781204798450342,0.6621657025948985,0.6657650593535557
5,0.6611686995525315,0.012561098443763049,0.6737297979962946,0.6502724913835938,0.6748971786039332,0.6840111921952615,0.6814787416181197,0.6863537312622624,0.6653654529145977,0.6745061893089741
OOF,0.657441415829574,0.011253088529161183,0.6686945043587352,0.6489089113845873,0.6666691327379298,0.6762290116241653,0.6621152776187744,0.6839537740240083,0.6742909187629464,0.671004239690176
