fold,white_roc_auc,white_log_loss,native_hawaiian_or_other_pacific_islander_roc_auc,native_hawaiian_or_other_pacific_islander_log_loss,more_than_one_race_roc_auc,more_than_one_race_log_loss,black_or_african-american_roc_auc,black_or_african-american_log_loss,asian_roc_auc,asian_log_loss,american_indian_or_alaska_native_roc_auc,american_indian_or_alaska_native_log_loss,roc_auc,log_loss
1,0.7476040933456061,0.5662725244008917,0.7556466521983765,0.5800179323184163,0.7487518520904464,0.5896220728355858,0.7858835005574137,0.5580840038367993,0.7751901944209637,0.5767094992753468,0.7880260590858417,0.5603366806418014,0.7699229846337875,0.5719232113053793
2,0.775608983384962,0.5476088733171399,0.7304785670517818,0.6118050323955309,0.7455162977080585,0.5984424393673857,0.7331057178116,0.5983501074698064,0.7680849256900213,0.5675247533942022,0.7635829122645843,0.5769090688807967,0.7550160177755456,0.5834211586878955
3,0.763826917090381,0.5396086264160713,0.7466005252407353,0.5988116719981463,0.7425361565537743,0.5905681608547897,0.7602183650615901,0.5661654477080997,0.7540145426712591,0.5826712432293893,0.7629431762991743,0.576668146333508,0.7616766210741723,0.5757383338907475
4,0.7717348432391689,0.5519222658056091,0.7361357011284582,0.6035927684520774,0.749902395740905,0.5881268020917568,0.7666600050870245,0.5644454362463562,0.7719068837712906,0.5585122255256343,0.7609285714285714,0.5784048569537372,0.7625888673140698,0.5739698611187513
5,0.7278347037739828,0.5917574723170738,0.7648800094145762,0.5787698444608618,0.7718785796105384,0.5674494275880824,0.7429168263003302,0.5968510831979176,0.7509093000823016,0.5812664817592718,0.775621840915137,0.566563037993325,0.7589272783266607,0.5803340764452566
6,0.7438824399498376,0.5642421334865331,0.7936728269054555,0.5561118657750528,0.7401581478512855,0.6006222811762092,0.7383463119186675,0.5924830703965843,0.7812472184145407,0.5584256025350145,0.7682414096242786,0.5777765381326969,0.7661800274955647,0.5751491336464409
7,0.7362443552919744,0.5626070176696686,0.7320462427745664,0.6048738012790698,0.7813716362991532,0.5602035076820339,0.7617221928432927,0.5771374520846533,0.761046979865772,0.5732230826749629,0.7524263804697076,0.5938597661685812,0.7607322548074456,0.5790242136125519
OOF,0.7523993021143274,0.5608571997090521,0.7509707329006259,0.5907318906541499,0.7540533350133776,0.5851529219203184,0.755557472493122,0.5789972204754595,0.7653942689723302,0.5712521829880042,0.7673457428022029,0.5758203963888575,0.7621761759456256,0.5770799988502759
