fold,white_roc_auc,white_log_loss,native_hawaiian_or_other_pacific_islander_roc_auc,native_hawaiian_or_other_pacific_islander_log_loss,more_than_one_race_roc_auc,more_than_one_race_log_loss,black_or_african-american_roc_auc,black_or_african-american_log_loss,asian_roc_auc,asian_log_loss,american_indian_or_alaska_native_roc_auc,american_indian_or_alaska_native_log_loss,roc_auc,log_loss
1,0.7344288627790714,0.5779956517259515,0.7565308254963428,0.5802482197016797,0.7561924241448174,0.584048432619169,0.7845770624303232,0.5593059940171776,0.7801437024513947,0.5808966882951185,0.7866760730211817,0.5603888236279256,0.7689405838994248,0.5738854752272687
2,0.7686127147282457,0.5536068177286535,0.7245997140497482,0.6145179364431572,0.7486357490755673,0.5953868037843889,0.7288111888111888,0.6019030127785551,0.7640594479830148,0.5758482639094525,0.7708681672025723,0.5706587038061716,0.7529569631667256,0.5853459367021363
3,0.7662550586282039,0.5391938178522139,0.7427001264468436,0.5998235365505967,0.7560595283689884,0.5817122433686075,0.7626757496578325,0.5656651428964519,0.748526597780329,0.5887869449210473,0.759373482272948,0.5804327486281617,0.7621634219222093,0.5760278814667135
4,0.7805523660937321,0.5480617984241308,0.726335461487562,0.6121301578693539,0.7547648624667258,0.5829616958140466,0.7524617564768723,0.5736570697146647,0.7680339815933036,0.5631057541397158,0.7633809523809524,0.5772017968820259,0.7603441613030187,0.5759392791790388
5,0.7276491671937592,0.5928010564595163,0.7720405188879936,0.5691219996620771,0.76815578465063,0.5726153911482762,0.7385930344991152,0.6002812884873616,0.7444048177417499,0.585223082645474,0.7709996009577016,0.5716088812193706,0.7569886361609559,0.5818885211736184
6,0.7419772339946622,0.5659066772426858,0.7934369414731954,0.5566593173629961,0.7384394845551514,0.602632603288845,0.7319201095969429,0.5997828297715425,0.7735032844961103,0.5650166588448323,0.7721496005809733,0.5745951030324399,0.763265278958287,0.5776688347282858
7,0.7268445839874412,0.5658762814278009,0.7291637764932561,0.6057684552960964,0.7804583942900207,0.5642482611850365,0.7619601621716905,0.5755171020669799,0.754675615212528,0.5798201111163186,0.7535029315313526,0.592580343057619,0.7580385546384029,0.5809759964949305
OOF,0.7486773793361305,0.5636441648210281,0.7485859687570565,0.5913486953215086,0.7568709472641871,0.5835764583193104,0.7513886625020905,0.5821769163539664,0.761408159749128,0.5770165615800829,0.7681872844367121,0.5754551638847561,0.7603630471514904,0.5788188813946527
