fold,white_roc_auc,white_log_loss,native_hawaiian_or_other_pacific_islander_roc_auc,native_hawaiian_or_other_pacific_islander_log_loss,more_than_one_race_roc_auc,more_than_one_race_log_loss,black_or_african-american_roc_auc,black_or_african-american_log_loss,asian_roc_auc,asian_log_loss,american_indian_or_alaska_native_roc_auc,american_indian_or_alaska_native_log_loss,roc_auc,log_loss
1,0.7447614922302237,0.5679001904177267,0.7583348962659305,0.5773540206283897,0.7540343361463635,0.5842901649120559,0.7879389632107023,0.5576396993788696,0.7760608622147083,0.5780947464828312,0.7869199414715718,0.5615564532992039,0.7708552070687194,0.5712088869868613
2,0.769536750211208,0.5512543880532239,0.7299190991679025,0.6089227811087807,0.749857466321328,0.5934818015698652,0.7264500205676676,0.6047601909217265,0.7729766454352442,0.5644652023238989,0.7640238860817641,0.5776968741084515,0.7543637499857324,0.5834215896887571
3,0.7649994811663381,0.539824334388633,0.7381674934344908,0.6046435470760946,0.7463113931899837,0.5869627896313672,0.7602261415951226,0.5691570657452059,0.7518407960199005,0.5841614791842233,0.7571393880524526,0.5813253056403676,0.7599715101408916,0.5776864179734512
4,0.7675452051432629,0.5535301738175126,0.727757211581451,0.6097275874828418,0.7533362910381545,0.5846393186038985,0.7652247374732023,0.5626780586602947,0.762495315037688,0.5657441125947067,0.7659126984126984,0.5732245100912695,0.7607736494962551,0.574720867491391
5,0.7386126923887835,0.5840197879509307,0.7563887857912318,0.5823103544927175,0.77317951235477,0.5660709047373376,0.747660226588583,0.5919731974642529,0.7435375534296763,0.587596675748379,0.7760291965948392,0.5682091133898676,0.7588742462850817,0.5798848162528276
6,0.7428936621756326,0.5673761236291311,0.7930649682915543,0.5579352251403628,0.7405666193970035,0.5993068328263036,0.7351016655851179,0.5958585205910525,0.7780428319655349,0.5615086983045278,0.7674483048580056,0.5781025086222308,0.7640220725114707,0.576879810212272
7,0.7395391204915014,0.55982292181211,0.7339961464354527,0.6049822194260115,0.7792348273263288,0.5623218829971707,0.763379164463247,0.5768438593284151,0.7566442953020134,0.5766368286422893,0.7511676438437842,0.5964630833110822,0.7599417097829828,0.5798831890430671
OOF,0.7524944217803547,0.5608271915450339,0.7476727741718825,0.5923860943323905,0.7561198921575946,0.5825776568118215,0.7550213767939538,0.5798349787512448,0.7625956809069351,0.5740844052094609,0.7666426849102427,0.576678163827031,0.761280575812985,0.5776694176890871
