fold,white_roc_auc,white_log_loss,native_hawaiian_or_other_pacific_islander_roc_auc,native_hawaiian_or_other_pacific_islander_log_loss,more_than_one_race_roc_auc,more_than_one_race_log_loss,black_or_african-american_roc_auc,black_or_african-american_log_loss,asian_roc_auc,asian_log_loss,american_indian_or_alaska_native_roc_auc,american_indian_or_alaska_native_log_loss,roc_auc,log_loss
1,0.7333459671160684,0.5746983816495017,0.7576204127928265,0.5788305211351953,0.7508696772531083,0.5865858317391016,0.7784455128205129,0.5664643157185218,0.7801944209636518,0.5721330117594594,0.7829222408026756,0.5626176590653644,0.7675712632921959,0.5736216084589216
2,0.7713232188116024,0.5500150315490115,0.7258429760139244,0.6148697664192264,0.7487171968919514,0.5952716513028229,0.7355409296585768,0.5983479093701893,0.7736050955414013,0.563744921021921,0.7643270555810748,0.5751775540670256,0.7555623485254896,0.5828746025525243
3,0.7646778042959428,0.5423067951172265,0.7364166909833673,0.6071781568713065,0.754363407561416,0.5808391475399032,0.7619603085728506,0.5652896456275031,0.747294297742059,0.5859833777102467,0.7601667476121095,0.5808602845421451,0.760776978862094,0.5770395424289492
4,0.7753635256067526,0.5507715900201973,0.7323711930182235,0.6052330194521214,0.7628482697426797,0.5801396781098542,0.7581029032375277,0.5704137994600086,0.7612043476450256,0.5669973765557291,0.760888888888889,0.5791088652919913,0.7605484416784285,0.575278312721305
5,0.7305840185536581,0.5903319158142112,0.7656042075914073,0.5780190450921406,0.7702912780232368,0.5695857849401258,0.746337547662051,0.5941590131211022,0.746723422331171,0.5881570688887524,0.7730114392125566,0.5681926586437733,0.7580690153757249,0.5813119721284215
6,0.7464629087752017,0.5662168397633843,0.8006495921903777,0.5500060887540099,0.7375223503298599,0.6036743596799113,0.7330827745331314,0.5949101174635205,0.7758887721859256,0.5609399680602474,0.771222719107136,0.5754121746432564,0.7658070975065745,0.5754900800495998
7,0.725856154427583,0.5663254212143486,0.732840077071291,0.6042057847230946,0.7798466108081749,0.560513518360521,0.7563634761149303,0.5815213770988089,0.7655838926174496,0.5700420866487339,0.7551591639338833,0.5923674645191556,0.7596997450100114,0.5795168471279057
OOF,0.749696440219668,0.5632140801650615,0.7494513956841198,0.591306248760481,0.7568600760539596,0.5826137243085157,0.7530767729967238,0.5814740569781004,0.7639414689557069,0.5726691803510511,0.7666716374307254,0.576325097229013,0.7611568851290975,0.5778761120437846
