fold,white_roc_auc,white_log_loss,native_hawaiian_or_other_pacific_islander_roc_auc,native_hawaiian_or_other_pacific_islander_log_loss,more_than_one_race_roc_auc,more_than_one_race_log_loss,black_or_african-american_roc_auc,black_or_african-american_log_loss,asian_roc_auc,asian_log_loss,american_indian_or_alaska_native_roc_auc,american_indian_or_alaska_native_log_loss,roc_auc,log_loss
1,0.7380024184669807,0.5695870683448755,0.7458225044431942,0.5878580465274016,0.74579655994331,0.5942570266038691,0.7773916527313267,0.5675778032292745,0.7791462383770076,0.5710596385426746,0.7855089882943144,0.5601829627858388,0.7657096721644802,0.5751500027620403
2,0.7702055758941143,0.5524538305249945,0.7303631212979655,0.6124185526018363,0.7523823486292333,0.5927278861961676,0.7307939119703826,0.6036994712250543,0.7693163481953291,0.5675697713682815,0.7535966926963712,0.5879495560976381,0.7535710650869563,0.5860529231246576
3,0.7635259935664627,0.5421568837769024,0.7426320396848556,0.6042539154791796,0.7608287282741515,0.5753984279500787,0.7591140972999876,0.5682517366696742,0.7542441637964026,0.5826755186402488,0.7575603043548649,0.5844506863980087,0.7627063463658188,0.5762307809377389
4,0.7729531689616184,0.5492294652047269,0.7303235152100435,0.6066671218191418,0.7561668145519078,0.5854677709735148,0.7576668725700375,0.568616479464495,0.7615375005205514,0.5672072873680707,0.7606428571428571,0.5773426417406126,0.7595256129303056,0.5755611698208184
5,0.7303225806451613,0.5916868313734477,0.7617659572542027,0.5841210429648156,0.7738258877434135,0.5664649111365261,0.7479065185266269,0.5932914025203682,0.7509181497181392,0.5835696975696958,0.773102886405959,0.5698822892324963,0.7586278732129926,0.5813878717226961
6,0.7503697868098653,0.5635769655880739,0.795333097447901,0.5535948550720803,0.7381620321844751,0.6067301738888838,0.7305952123440766,0.5995403264238937,0.774909654104285,0.5625469658011619,0.7691491801398923,0.5753747634639608,0.7646557445004116,0.5771596465686535
7,0.7236273426749618,0.5710733536548749,0.7339499036608864,0.602970790069293,0.7736844438533493,0.5672680257851686,0.7527322404371585,0.5844721807746444,0.7579418344519016,0.5767443628396497,0.7534035575872007,0.5942048126940634,0.7559409720043431,0.5830775383071926
OOF,0.7497648532102339,0.563054315130315,0.7478978611669205,0.5932287042235458,0.7559856712313195,0.5842947251075316,0.7510503171414438,0.5835614315492593,0.7632708259921335,0.5731083242944813,0.7643160185051953,0.578513424834959,0.7600715588213303,0.5792314806440924
