fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6556610124346123,0.013605147586474173,0.6692661600210864,0.6555439844947786,0.6585937568587056,0.661235006611258,0.6638995693838918,0.6888596038366438,0.6874650389412408,0.6728182001362516
2,0.6543638497726509,0.017861857928635143,0.6722257077012861,0.6367445369213837,0.6807715457069299,0.6795032313895896,0.6633925405853478,0.6817027615704951,0.6912396300339708,0.6756277591382659
3,0.6525671736784187,0.013295800607454503,0.6658629742858732,0.661544711443766,0.663978557345684,0.6765250037543175,0.6426074927765182,0.6854425892742507,0.6650794911207029,0.6669802206546829
4,0.6498898553674042,0.013281963184342972,0.6631718185517471,0.6410876681055011,0.6572216309246133,0.6806831739121334,0.6604670339109223,0.6779679544050619,0.6616034500522512,0.6657349068879587
5,0.6613095596540312,0.012487320840416651,0.6737968804944479,0.6508981831278804,0.6737076761788459,0.684005232559872,0.6822157025928136,0.6866225672283788,0.6653319212788966,0.6745525635390294
OOF,0.6574019787680284,0.011344004355616171,0.6687459831236446,0.6488169896851078,0.6665215207580374,0.6762519020963718,0.6621947762876049,0.6841440578789549,0.6745466520357911,0.6710971322751716
