fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6803046719500695,0.014484318845018248,0.6947889907950877,0.6645425248975947,0.6978636118692092,0.6949727776650748,0.6974820896015143,0.7109403361016012,0.7029326046355318,0.6951141658707382
2,0.6742624669469466,0.01725787240380056,0.6915203393507472,0.6924610401756268,0.6679843034362126,0.69267135530646,0.6751937618395437,0.7216078581777892,0.699203717168851,0.6910098700631984
3,0.6803070430025489,0.010545990962932395,0.6908530339654813,0.704011268095844,0.6827483298144376,0.6791120877385738,0.698423943545345,0.7012030301412675,0.6796195444574198,0.6940526942641837
4,0.6868889554413292,0.00907825628494805,0.6959672117262773,0.7076847768042562,0.6797577905774627,0.696312443898954,0.6915914221218962,0.7046363245476606,0.6958205124074343,0.6967288245964369
5,0.6784911141033528,0.015452437039703072,0.693943551143056,0.6737097083653109,0.7036209435782845,0.6990806575259095,0.6831545070511098,0.6839444679949132,0.7201510223428076,0.69488822696691
6,0.6830825661822884,0.013910599088042482,0.6969931652703308,0.6916784078901022,0.7167689786734495,0.6909886922481381,0.6730187997297113,0.702463555575012,0.7070405575055725,0.6986370352750958
7,0.6749179456774147,0.014963709734669803,0.6898816554120845,0.668632831277039,0.6708637177966743,0.7075072064168442,0.6988964677089221,0.70146533257708,0.6919243766959475,0.6919865357561027
OOF,0.6867762213326392,0.006289507543559059,0.6930657288761982,0.6862426950444224,0.6884614521942104,0.6937115198878055,0.6874999390762926,0.7027529808272094,0.6997257862272491,0.6945714484166606
