fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6813397295496672,0.015388601865222314,0.6967283314148894,0.6664887111490749,0.7020935097142791,0.6908551596330879,0.6989127205097448,0.7149112274019425,0.7071086600812072,0.6972182770764325
2,0.6816441071190262,0.01720686884098674,0.698850975960013,0.7007649218834602,0.6769430826946535,0.695622636886565,0.6819209840005457,0.7286659422142675,0.709188288080586,0.6984064672850231
3,0.6830661360434839,0.011967932235026638,0.6950340682785106,0.7130659879705463,0.6855902767028463,0.681256866911847,0.7014417282337679,0.7047553418129407,0.6840942080391151,0.6974520185208194
4,0.691320548374343,0.011007371558066161,0.7023279199324092,0.7141868238365539,0.6803780830010339,0.7042139136700312,0.7000509007214624,0.7120892372625867,0.7030485611027876,0.7029697443508385
5,0.6843740953629852,0.014911092627948291,0.6992851879909335,0.678065042210284,0.7123446131622456,0.7028493179543899,0.6880476971709816,0.6922212802034761,0.7221831772442237,0.6994465945878954
6,0.68934767387735,0.013698959011654716,0.7030466328890047,0.702505283550546,0.7215197612991586,0.6936984090636483,0.6802317358713929,0.7040285864378584,0.7162960211114242,0.7045242720931335
7,0.6811126757960013,0.012534890192617372,0.6936475659886187,0.6790728649254927,0.6748101233882566,0.7087792956510841,0.6953460679459812,0.7036900389323613,0.700187005088536,0.6956246624571718
OOF,0.6914823006284712,0.006472390245794532,0.6979546908742656,0.6936017207422762,0.6929514046565767,0.6956361172342126,0.6916967431214969,0.7079309902453469,0.7059111692456848,0.6993256699729904
