fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6553959223456535,0.013557909183039351,0.6689538315286928,0.6559586141726209,0.6570222902443236,0.6610933367963733,0.6641596550781061,0.6883406244056192,0.6871484684751139,0.672507776892889
2,0.653518899921418,0.0183339854711626,0.6718528853925806,0.6362745946748123,0.6816160737638536,0.6781437768898873,0.6615274372431426,0.6811215565010327,0.6924338732827557,0.6753213460372056
3,0.6525577168779834,0.01292586077926757,0.665483577657251,0.6610843017530037,0.6626136005693153,0.676594083195675,0.6433250662323028,0.6844573208514059,0.6648270933418033,0.6666069384370299
4,0.6494686882746947,0.013386693864188707,0.6628553821388834,0.6412262598620634,0.6569527163205688,0.6816968116756718,0.6590526472508217,0.6770095862239023,0.6611942715002723,0.6654265538110261
5,0.6610345027820883,0.012907962206369774,0.6739424649884581,0.6504538894102987,0.6738833653990162,0.6852209981793314,0.6817589549164824,0.68734377140671,0.6649938106189102,0.6747548749565722
OOF,0.6571528891543686,0.011362280105861301,0.6685151692602299,0.648650612407114,0.6660413414535189,0.6764031469965004,0.6617764876513331,0.683679683615217,0.6745397434376954,0.6708810892242599
