fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.678675627380082,0.017116585277549026,0.695792212657631,0.6624750053386655,0.7021108928561082,0.6902027008503896,0.6966457207628565,0.7176757719781294,0.7056431841596377,0.6959751986434218
2,0.681737910262504,0.01563407663558268,0.6973719868980867,0.7016066312919009,0.6776623167391654,0.6931558109620621,0.6830176996258573,0.7257255177703912,0.7030639449991428,0.6966753423761964
3,0.6767759685000838,0.015295510580838431,0.6920714790809223,0.7151379689148476,0.6837823279198063,0.6757238629709796,0.7001950519371786,0.7037653533142777,0.6738243094284436,0.6946659534789411
4,0.6889221206642074,0.009653756195478135,0.6985758768596856,0.7100680366290224,0.6807797961896322,0.7010997331574738,0.6922387465144071,0.706153595239625,0.7011153534279531,0.7000783594350899
5,0.6810820201351744,0.01714978224723359,0.698231802382408,0.6751295088257866,0.7140148629661606,0.7007543172814148,0.6805135563088426,0.6952045358202629,0.7237740330919809,0.6991693955406298
6,0.6932044053368861,0.009916598319608012,0.7031210036564941,0.7031613244100036,0.7124033946390139,0.696031927769963,0.6850194073554139,0.7112135008536532,0.710896466910917,0.704736390864591
7,0.6820187584154956,0.013050368880264238,0.6950691272957599,0.6826830636116007,0.6736696020791805,0.7110978819400927,0.699829339362245,0.7063883213929746,0.6967465553884656,0.6966495737762347
OOF,0.6903106782013132,0.006500607894527135,0.6968112860958403,0.6930101681767875,0.6917084460239826,0.694728228374526,0.6904973313249991,0.70855959312133,0.7023639495534167,0.6982043886966507
