fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6798968608902783,0.016069571994235195,0.6959664328845135,0.6668527110714216,0.6978346399661608,0.6879656993097095,0.6987036283000804,0.719233969830162,0.7052079488295475,0.6960573881353598
2,0.6806286128448635,0.015968728297681627,0.6965973411425451,0.6974916075173018,0.6753837832861516,0.6882110222014334,0.6854525132629127,0.7232538566436546,0.7097912639438169,0.696321495142396
3,0.6838777761641489,0.010954245930325603,0.6948320220944745,0.7092265692128648,0.6861165631636627,0.6828095291354435,0.7001766508110296,0.7068032591974299,0.6838595610464164,0.697592359665624
4,0.6928564594473055,0.009500792534156179,0.7023572519814616,0.7131138624631633,0.6849859695761336,0.7033040844614605,0.6975943876421901,0.7123758877516223,0.7027693199942003,0.7034081840471745
5,0.6841726726838904,0.014410249580843136,0.6985829222647335,0.6819742900997697,0.7150361981503112,0.7027030190247128,0.6836461126005362,0.68994277236117,0.7181951413519005,0.6991537532720918
6,0.6876094162859412,0.014252021804323107,0.7018614380902642,0.6975123282846073,0.7230360986108394,0.6972804693207716,0.6777331370772156,0.7015715974259072,0.7140349978222439,0.7037037984916835
7,0.6791551513101669,0.012929859379065484,0.6920850106892323,0.6784069059445602,0.6719386338977064,0.7092868780548941,0.6961582150324036,0.7014322923836848,0.6952871388221454,0.6940796962976038
OOF,0.6909523089369757,0.0061776255400292175,0.6971299344770049,0.6920949434382129,0.6933850809029908,0.6949752896753304,0.6910976329217201,0.707135848704673,0.7040908112191028,0.698539987689007
