fold,stratified_concordance_index,std_concordance_index,macro_concordance_index,white_concordance_index,native_hawaiian_or_other_pacific_islander_concordance_index,more_than_one_race_concordance_index,black_or_african-american_concordance_index,asian_concordance_index,american_indian_or_alaska_native_concordance_index,micro_concordance_index
1,0.6783466030825922,0.015287413179934378,0.6936340162625266,0.6627079652889674,0.7001292146875959,0.689648933312133,0.6954571966237111,0.710856562023535,0.7030042256392175,0.694566536984895
2,0.6759224550206785,0.01619270535135663,0.6921151603720351,0.6947351322615894,0.6747335957099128,0.6914240212046797,0.6727904328615882,0.7214533793573681,0.6975544008370724,0.691542071969123
3,0.683834538114099,0.008296328812556765,0.6921308669266558,0.7050119098117271,0.6854974026215257,0.6847371987605019,0.6928576028852966,0.7009361214774122,0.6837449660034706,0.6953464500910488
4,0.6863296871290768,0.009007545451957942,0.6953372325810347,0.7036055457763889,0.6776547038842121,0.6950179218035379,0.6939926083300137,0.7054863915151455,0.69626622417691,0.6961877713541498
5,0.6775118959239098,0.016233528208619726,0.6937454241325295,0.6758490023023791,0.7042416445189286,0.7011522503701363,0.6782327352132482,0.6823283170835099,0.7206685953069752,0.6947936213235405
6,0.6779359995129339,0.017686927177439075,0.695622926690373,0.6867294822120465,0.7198077675601644,0.6901872267111562,0.6655858611784796,0.6994867136540734,0.7119405088263175,0.6972178417630096
7,0.6745052365746734,0.016095405762467832,0.6906006423371412,0.6706557442717513,0.6671898261461987,0.7099260558967289,0.6979745710162265,0.7035083178686873,0.6943493388232552,0.6925508313729704
OOF,0.6860018020746438,0.0069514444357725545,0.6929532465104163,0.68548965571481,0.6898459750605039,0.6936176809362994,0.6849825714873367,0.7025268642982792,0.7012567315652696,0.6945550435044636
